lat,lon,alt,date,device,os,version
53.5621414185,-1.80647706985,226.778793335,2012-04-20 22:28:16,"iPhone3,1",5.1,1.0
53.5621414185,-1.80647706985,226.778793335,2012-04-20 22:28:16,"iPhone3,1",5.1,1.1
53.5621414185,-1.80647706985,226.778793335,2012-04-20 22:28:16,"iPhone3,1",5.1.1,1.1
53.5692558289,-1.80494880676,177.739318848,2012-04-20 22:30:24,"iPhone3,1",5.1,1.0
53.5692558289,-1.80494880676,177.739318848,2012-04-20 22:30:24,"iPhone3,1",5.1,1.1
53.5692558289,-1.80494880676,177.739318848,2012-04-20 22:30:24,"iPhone3,1",5.1.1,1.1
53.565864563,-1.77970838547,177.762939453,2012-04-21 00:12:48,"iPhone3,1",5.1,1.1
53.565864563,-1.77970838547,177.762939453,2012-04-21 00:12:48,"iPhone3,1",5.1.1,1.1
53.5683135986,-1.79957449436,194.213500977,2012-04-21 00:25:36,"iPhone3,1",5.1,1.1
53.5683135986,-1.79957449436,194.213500977,2012-04-21 00:25:36,"iPhone3,1",5.1.1,1.1
53.565864563,-1.77972960472,264.728363037,2012-04-21 01:44:32,"iPhone3,1",5.1,1.1
53.565864563,-1.77972960472,264.728363037,2012-04-21 01:44:32,"iPhone3,1",5.1.1,1.1
53.5608634949,-1.81567132473,253.383300781,2012-04-21 03:12:00,"iPhone3,1",5.1,1.1
53.5608634949,-1.81567132473,253.383300781,2012-04-21 03:12:00,"iPhone3,1",5.1.1,1.1
53.5654640198,-1.78258895874,282.910736084,2012-04-21 03:41:52,"iPhone3,1",5.1,1.1
53.5654640198,-1.78258895874,282.910736084,2012-04-21 03:41:52,"iPhone3,1",5.1.1,1.1
53.5608978271,-1.81541132927,229.576690674,2012-04-21 04:20:16,"iPhone3,1",5.1,1.1
53.5608978271,-1.81541132927,229.576690674,2012-04-21 04:20:16,"iPhone3,1",5.1.1,1.1
53.5654640198,-1.78258883953,235.232437134,2012-04-21 05:26:24,"iPhone3,1",5.1,1.1
53.5654640198,-1.78258883953,235.232437134,2012-04-21 05:26:24,"iPhone3,1",5.1.1,1.1
53.5608634949,-1.81567132473,262.471130371,2012-04-21 06:34:40,"iPhone3,1",5.1,1.1
53.5608634949,-1.81567132473,262.471130371,2012-04-21 06:34:40,"iPhone3,1",5.1.1,1.1
53.5654640198,-1.78258883953,234.190216064,2012-04-21 07:02:24,"iPhone3,1",5.1,1.1
53.5654640198,-1.78258883953,234.190216064,2012-04-21 07:02:24,"iPhone3,1",5.1.1,1.1
53.5609970093,-1.81652748585,273.411895752,2012-04-21 07:13:04,"iPhone3,1",5.1,1.1
53.5609970093,-1.81652748585,273.411895752,2012-04-21 07:13:04,"iPhone3,1",5.1.1,1.1
53.5661277771,-1.78173673153,264.142486572,2012-04-21 07:21:36,"iPhone3,1",5.1,1.1
53.5661277771,-1.78173673153,264.142486572,2012-04-21 07:21:36,"iPhone3,1",5.1.1,1.1
53.5690765381,-1.80511546135,266.82800293,2012-04-21 07:49:20,"iPhone3,1",5.1,1.1
53.5690765381,-1.80511546135,266.82800293,2012-04-21 07:49:20,"iPhone3,1",5.1.1,1.1
53.5702552795,-1.78745758533,156.215942383,2012-04-21 08:34:08,"iPhone3,1",5.1,1.1
53.5702552795,-1.78745758533,156.215942383,2012-04-21 08:34:08,"iPhone3,1",5.1.1,1.1
53.5690841675,-1.80516111851,154.717330933,2012-04-21 10:03:44,"iPhone3,1",5.1,1.1
53.5690841675,-1.80516111851,154.717330933,2012-04-21 10:03:44,"iPhone3,1",5.1.1,1.1
53.6044845581,-1.78864812851,225.986938477,2012-04-21 11:24:48,"iPhone3,1",5.1,1.1
53.6044845581,-1.78864812851,225.986938477,2012-04-21 11:24:48,"iPhone3,1",5.1.1,1.1
53.6430740356,-1.7926633358,112.982620239,2012-04-21 11:35:28,"iPhone3,1",5.1,1.1
53.6430740356,-1.7926633358,112.982620239,2012-04-21 11:35:28,"iPhone3,1",5.1.1,1.1
